"시점","동별(1)","동별(2)",구분별(1),구분별(2),데이터
"2024 2/4","합계","금천구",등록외국인 (명),여자,6437
"2024 2/4","합계","금천구",세대당인구 (명),소계,1.87
"2024 2/4","합계","금천구",65세이상고령자 (명),소계,46764
"2024 2/4","합계","영등포구",세대 (세대),소계,192064
"2024 2/4","합계","영등포구",계 (명),소계,397771
"2024 2/4","합계","영등포구",계 (명),남자,195198
"2024 2/4","합계","영등포구",계 (명),여자,202573
"2024 2/4","합계","영등포구",한국인 (명),소계,375040
"2024 2/4","합계","영등포구",한국인 (명),남자,183512
"2024 2/4","합계","영등포구",한국인 (명),여자,191528
"2024 2/4","합계","영등포구",등록외국인 (명),소계,22731
"2024 2/4","합계","영등포구",등록외국인 (명),남자,11686
"2024 2/4","합계","영등포구",등록외국인 (명),여자,11045
"2024 2/4","합계","영등포구",세대당인구 (명),소계,1.95
"2024 2/4","합계","영등포구",65세이상고령자 (명),소계,69230
"2024 2/4","합계","동작구",세대 (세대),소계,187662
"2024 2/4","합계","동작구",계 (명),소계,389541
"2024 2/4","합계","동작구",계 (명),남자,187445
"2024 2/4","합계","동작구",계 (명),여자,202096
"2024 2/4","합계","동작구",한국인 (명),소계,378324
"2024 2/4","합계","동작구",한국인 (명),남자,182931
"2024 2/4","합계","동작구",한국인 (명),여자,195393
"2024 2/4","합계","동작구",등록외국인 (명),소계,11217
"2024 2/4","합계","동작구",등록외국인 (명),남자,4514
"2024 2/4","합계","동작구",등록외국인 (명),여자,6703
"2024 2/4","합계","동작구",세대당인구 (명),소계,2.02
"2024 2/4","합계","동작구",65세이상고령자 (명),소계,71823
"2024 2/4","합계","관악구",세대 (세대),소계,286338
"2024 2/4","합계","관악구",계 (명),소계,497632
"2024 2/4","합계","관악구",계 (명),남자,248813
"2024 2/4","합계","관악구",계 (명),여자,248819
"2024 2/4","합계","관악구",한국인 (명),소계,481145
"2024 2/4","합계","관악구",한국인 (명),남자,242251
"2024 2/4","합계","관악구",한국인 (명),여자,238894
"2024 2/4","합계","관악구",등록외국인 (명),소계,16487
"2024 2/4","합계","관악구",등록외국인 (명),남자,6562
"2024 2/4","합계","관악구",등록외국인 (명),여자,9925
"2024 2/4","합계","관악구",세대당인구 (명),소계,1.68
"2024 2/4","합계","관악구",65세이상고령자 (명),소계,87267
"2024 2/4","합계","서초구",세대 (세대),소계,170464
"2024 2/4","합계","서초구",계 (명),소계,411959
